,BioProject,Library Name,tissue,Run,Assay Type,AvgSpotLen,Bases,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,BioProject,Library Name,tissue,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,BioSampleModel,Cultivar,dev_stage,isolate,Age,Ecotype,replicate,treatment,phenotype,Biomaterial_provider,disease_stage,disease,Collection_date,isolation_source,sample_type,Genotype,GEO_Accession (exp),source_name,sub_species,strain,time_cultured,tissue_type,symbiont,growth_protocol,AssemblyName,sample_name,is_reference,specific_host,collected_by,Host,biological_repeats,Developmental_stage,temp,variety,quality_book_char (run),library_selection (exp)
,PRJNA602777,T2-3,Leaf,SRR10958807,RNA-Seq,299,6163111978,SAMN13907355,1953575280,SHENYANG AGRICULTURAL UNIVERSITY,public,"sra,fastq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX7624921,Illumina HiSeq 2500,PAIRED,RANDOM,TRANSCRIPTOMIC,Arachis hypogaea,ILLUMINA,2020-01-24T00:00:00Z,T2-3,SRP244390,PRJNA602777,T2-3,Leaf,China,Asia,China,Plant,NH5,Seedling Stage,The third biological repetition of 24-h cold treatment in NH5,two weeks after emergrnce,cold-tolerant variety,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRJNA602777,T2-2,Leaf,SRR10958808,RNA-Seq,298,6938537932,SAMN13907354,2211523348,SHENYANG AGRICULTURAL UNIVERSITY,public,"sra,fastq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX7624920,Illumina HiSeq 2500,PAIRED,RANDOM,TRANSCRIPTOMIC,Arachis hypogaea,ILLUMINA,2020-01-24T00:00:00Z,T2-2,SRP244390,PRJNA602777,T2-2,Leaf,China,Asia,China,Plant,NH5,Seedling Stage,The second biological repetition of 24-h cold treatment in NH5,two weeks after emergrnce,cold-tolerant variety,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRJNA602777,T2-1,Leaf,SRR10958809,RNA-Seq,299,5983737418,SAMN13907353,1914777935,SHENYANG AGRICULTURAL UNIVERSITY,public,"sra,fastq","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX7624919,Illumina HiSeq 2500,PAIRED,RANDOM,TRANSCRIPTOMIC,Arachis hypogaea,ILLUMINA,2020-01-24T00:00:00Z,T2-1,SRP244390,PRJNA602777,T2-1,Leaf,China,Asia,China,Plant,NH5,Seedling Stage,The first biological repetition of 24-h cold treatment in NH5,two weeks after emergrnce,cold-tolerant variety,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRJNA602777,T1-3,Leaf,SRR10958810,RNA-Seq,298,5819343442,SAMN13907352,1856891958,SHENYANG AGRICULTURAL UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX7624918,Illumina HiSeq 2500,PAIRED,RANDOM,TRANSCRIPTOMIC,Arachis hypogaea,ILLUMINA,2020-01-24T00:00:00Z,T1-3,SRP244390,PRJNA602777,T1-3,Leaf,China,Asia,China,Plant,NH5,Seedling Stage,The third biological repetition of 12-h cold treatment in NH5,two weeks after emergrnce,cold-tolerant variety,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRJNA602777,T1-2,Leaf,SRR10958811,RNA-Seq,298,6493303004,SAMN13907351,2084912755,SHENYANG AGRICULTURAL UNIVERSITY,public,"sra,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX7624917,Illumina HiSeq 2500,PAIRED,RANDOM,TRANSCRIPTOMIC,Arachis hypogaea,ILLUMINA,2020-01-24T00:00:00Z,T1-2,SRP244390,PRJNA602777,T1-2,Leaf,China,Asia,China,Plant,NH5,Seedling Stage,The second biological repetition of 12-h cold treatment in NH5,two weeks after emergrnce,cold-tolerant variety,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRJNA602777,T1-1,Leaf,SRR10958812,RNA-Seq,298,6092297710,SAMN13907350,1948223054,SHENYANG AGRICULTURAL UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX7624916,Illumina HiSeq 2500,PAIRED,RANDOM,TRANSCRIPTOMIC,Arachis hypogaea,ILLUMINA,2020-01-24T00:00:00Z,T1-1,SRP244390,PRJNA602777,T1-1,Leaf,China,Asia,China,Plant,NH5,Seedling Stage,The first biological repetition of 12-h cold treatment in NH5,two weeks after emergrnce,cold-tolerant variety,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRJNA602777,T0-3,Leaf,SRR10958813,RNA-Seq,298,6273938942,SAMN13907349,2005923615,SHENYANG AGRICULTURAL UNIVERSITY,public,"fastq,sra","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX7624915,Illumina HiSeq 2500,PAIRED,RANDOM,TRANSCRIPTOMIC,Arachis hypogaea,ILLUMINA,2020-01-24T00:00:00Z,T0-3,SRP244390,PRJNA602777,T0-3,Leaf,China,Asia,China,Plant,NH5,Seedling Stage,The third biological repetition of 0-h cold treatment in NH5,two weeks after emergrnce,cold-tolerant variety,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRJNA602777,S2-3,Leaf,SRR10958814,RNA-Seq,297,6042441166,SAMN13907364,1921144065,SHENYANG AGRICULTURAL UNIVERSITY,public,"sra,fastq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX7624914,Illumina HiSeq 2500,PAIRED,RANDOM,TRANSCRIPTOMIC,Arachis hypogaea,ILLUMINA,2020-01-24T00:00:00Z,S2-3,SRP244390,PRJNA602777,S2-3,Leaf,China,Asia,China,Plant,FH18,Seedling Stage,The third biological repetition of 24-h cold treatment in FH18,two weeks after emergrnce,cold-sensitive variety,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRJNA602777,S2-2,Leaf,SRR10958815,RNA-Seq,298,6120416506,SAMN13907363,1955429897,SHENYANG AGRICULTURAL UNIVERSITY,public,"sra,fastq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX7624913,Illumina HiSeq 2500,PAIRED,RANDOM,TRANSCRIPTOMIC,Arachis hypogaea,ILLUMINA,2020-01-24T00:00:00Z,S2-2,SRP244390,PRJNA602777,S2-2,Leaf,China,Asia,China,Plant,FH18,Seedling Stage,The second biological repetition of 24-h cold treatment in FH18,two weeks after emergrnce,cold-sensitive variety,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRJNA602777,S2-1,Leaf,SRR10958816,RNA-Seq,299,6707153856,SAMN13907362,2136696963,SHENYANG AGRICULTURAL UNIVERSITY,public,"sra,fastq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX7624912,Illumina HiSeq 2500,PAIRED,RANDOM,TRANSCRIPTOMIC,Arachis hypogaea,ILLUMINA,2020-01-24T00:00:00Z,S2-1,SRP244390,PRJNA602777,S2-1,Leaf,China,Asia,China,Plant,FH18,Seedling Stage,The first biological repetition of 24-h cold treatment in FH18,two weeks after emergrnce,cold-sensitive variety,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRJNA602777,S1-3,Leaf,SRR10958817,RNA-Seq,299,6216244802,SAMN13907361,1995895425,SHENYANG AGRICULTURAL UNIVERSITY,public,"sra,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX7624911,Illumina HiSeq 2500,PAIRED,RANDOM,TRANSCRIPTOMIC,Arachis hypogaea,ILLUMINA,2020-01-24T00:00:00Z,S1-3,SRP244390,PRJNA602777,S1-3,Leaf,China,Asia,China,Plant,FH18,Seedling Stage,The third biological repetition of 12-h cold treatment in FH18,two weeks after emergrnce,cold-sensitive variety,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRJNA602777,S1-2,Leaf,SRR10958818,RNA-Seq,298,6126473402,SAMN13907360,1944865327,SHENYANG AGRICULTURAL UNIVERSITY,public,"sra,fastq","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX7624910,Illumina HiSeq 2500,PAIRED,RANDOM,TRANSCRIPTOMIC,Arachis hypogaea,ILLUMINA,2020-01-24T00:00:00Z,S1-2,SRP244390,PRJNA602777,S1-2,Leaf,China,Asia,China,Plant,FH18,Seedling Stage,The second biological repetition of 12-h cold treatment in FH18,two weeks after emergrnce,cold-sensitive variety,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRJNA602777,S1-1,Leaf,SRR10958819,RNA-Seq,298,6169204568,SAMN13907359,1976544599,SHENYANG AGRICULTURAL UNIVERSITY,public,"sra,fastq","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX7624909,Illumina HiSeq 2500,PAIRED,RANDOM,TRANSCRIPTOMIC,Arachis hypogaea,ILLUMINA,2020-01-24T00:00:00Z,S1-1,SRP244390,PRJNA602777,S1-1,Leaf,China,Asia,China,Plant,FH18,Seedling Stage,The first biological repetition of 12-h cold treatment in FH18,two weeks after emergrnce,cold-sensitive variety,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRJNA602777,S0-3,Leaf,SRR10958820,RNA-Seq,298,7564675716,SAMN13907358,2394085864,SHENYANG AGRICULTURAL UNIVERSITY,public,"sra,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX7624908,Illumina HiSeq 2500,PAIRED,RANDOM,TRANSCRIPTOMIC,Arachis hypogaea,ILLUMINA,2020-01-24T00:00:00Z,S0-3,SRP244390,PRJNA602777,S0-3,Leaf,China,Asia,China,Plant,FH18,Seedling Stage,The third biological repetition of 0-h cold treatment in FH18,two weeks after emergrnce,cold-sensitive variety,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRJNA602777,S0-2,Leaf,SRR10958821,RNA-Seq,298,5955655282,SAMN13907357,1892543286,SHENYANG AGRICULTURAL UNIVERSITY,public,"sra,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX7624907,Illumina HiSeq 2500,PAIRED,RANDOM,TRANSCRIPTOMIC,Arachis hypogaea,ILLUMINA,2020-01-24T00:00:00Z,S0-2,SRP244390,PRJNA602777,S0-2,Leaf,China,Asia,China,Plant,FH18,Seedling Stage,The second biological repetition of 0-h cold treatment in FH18,two weeks after emergrnce,cold-sensitive variety,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRJNA602777,T0-2,Leaf,SRR10958822,RNA-Seq,298,6670915352,SAMN13907348,2117939618,SHENYANG AGRICULTURAL UNIVERSITY,public,"fastq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX7624906,Illumina HiSeq 2500,PAIRED,RANDOM,TRANSCRIPTOMIC,Arachis hypogaea,ILLUMINA,2020-01-24T00:00:00Z,T0-2,SRP244390,PRJNA602777,T0-2,Leaf,China,Asia,China,Plant,NH5,Seedling Stage,The second biological repetition of 0-h cold treatment in NH5,two weeks after emergrnce,cold-tolerant variety,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRJNA602777,T0-1,Leaf,SRR10958823,RNA-Seq,298,6299646916,SAMN13907347,2012258472,SHENYANG AGRICULTURAL UNIVERSITY,public,"sra,fastq","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7624905,Illumina HiSeq 2500,PAIRED,RANDOM,TRANSCRIPTOMIC,Arachis hypogaea,ILLUMINA,2020-01-24T00:00:00Z,T0-1,SRP244390,PRJNA602777,T0-1,Leaf,China,Asia,China,Plant,NH5,Seedling Stage,The first biological repetition of 0-h cold treatment in NH5,two weeks after emergrnce,cold-tolerant variety,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRJNA544421: The peanut leaf drougt-resistance RNA data for different time span,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRJNA544421,T07,leaf,SRR9123278,RNA-Seq,251,7595565722,SAMN11836189,4002071874,HEBEI AGRICULTURAL UNIVERSITY,public,"sra,fastq","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",SRX5897267,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Arachis hypogaea,ILLUMINA,2019-06-06T00:00:00Z,T03-T,SRP199473,PRJNA544421,T07,leaf,China,Asia,China:Hebei,Plant,L422,fruiting stage,2-Sep,not applicab,missing,,drought,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRJNA544421,T09,leaf,SRR9123280,RNA-Seq,251,7968982046,SAMN11836191,4116267197,HEBEI AGRICULTURAL UNIVERSITY,public,"sra,fastq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX5897265,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Arachis hypogaea,ILLUMINA,2019-06-06T00:00:00Z,T04-T,SRP199473,PRJNA544421,T09,leaf,China,Asia,China:Hebei,Plant,L422,fruiting stage,7-Sep,not applicab,missing,,drought,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRJNA544421,T02,leaf,SRR9123282,RNA-Seq,251,7819787076,SAMN11836185,4062669937,HEBEI AGRICULTURAL UNIVERSITY,public,"fastq,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX5897263,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Arachis hypogaea,ILLUMINA,2019-06-06T00:00:00Z,T01-T,SRP199473,PRJNA544421,T02,leaf,China,Asia,China:Hebei,Plant,L422,fruiting stage,18-Aug,not applicab,missing,,drought,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRJNA544421,T04,leaf,SRR9123284,RNA-Seq,251,6758046955,SAMN11836187,3510039261,HEBEI AGRICULTURAL UNIVERSITY,public,"sra,fastq","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX5897261,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Arachis hypogaea,ILLUMINA,2019-06-06T00:00:00Z,T02-T,SRP199473,PRJNA544421,T04,leaf,China,Asia,China:Hebei,Plant,L422,fruiting stage,23-Aug,not applicab,missing,,drought,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRJNA521728: The project was designed to unravel mechanism underlying groundnut (Arachis hypogaea)- stem rot disease (Sclerotium rolfsii) interaction using transcriptome sequencing analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRJNA521728,SC,leaf,SRR8569419,RNA-Seq,194,7651905660,SAMN10909781,3344948859,ICAR-DIRECTORATE OF GROUNDNUT RESEARCH,public,"sra,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX5370726,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Arachis hypogaea,ILLUMINA,2020-03-02T00:00:00Z,TG37A_C,SRP185769,PRJNA521728,SC,leaf,India,Asia,"India:Gujarat\,Junagadh",Plant,,,TG37A,85 days after germination (DAG),,,70 DAG groundnut plant inoculated with S.rolfsii pathogen/water as control,,ICAR-Directorate of Groundnut Research,,Stem rot,,,,,,,,,,,,,,,,,Dr. Sneha dodia,,,,,,,
,PRJNA521728,SI,leaf,SRR8569420,RNA-Seq,194,6129250223,SAMN10909780,2713517467,ICAR-DIRECTORATE OF GROUNDNUT RESEARCH,public,"fastq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX5370725,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Arachis hypogaea,ILLUMINA,2020-03-02T00:00:00Z,TG37A_I,SRP185769,PRJNA521728,SI,leaf,India,Asia,"India:Gujarat\,Junagadh",Plant,,,TG37A,84 days after germination (DAG),,,70 DAG groundnut plant inoculated with S.rolfsii pathogen/water as control,,ICAR-Directorate of Groundnut Research,,Stem rot,,,,,,,,,,,,,,,,,Dr. Sneha dodia,,,,,,,
,PRJNA521728,RC,leaf,SRR8569421,RNA-Seq,194,6958874755,SAMN10909779,3011571749,ICAR-DIRECTORATE OF GROUNDNUT RESEARCH,public,"fastq,sra","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX5370724,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Arachis hypogaea,ILLUMINA,2020-03-02T00:00:00Z,NRCGCS85_C,SRP185769,PRJNA521728,RC,leaf,India,Asia,"India:Gujarat\,Junagadh",Plant,,,NRCGCS85,83 days after germination (DAG),,,70 DAG groundnut plant inoculated with S.rolfsii pathogen/water as control,,ICAR-Directorate of Groundnut Research,,Stem rot,,,,,,,,,,,,,,,,,Dr. Sneha dodia,,,,,,,
,PRJNA521728,RI,leaf,SRR8569422,RNA-Seq,192,7291476213,SAMN10909778,3244290443,ICAR-DIRECTORATE OF GROUNDNUT RESEARCH,public,"sra,fastq","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX5370723,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Arachis hypogaea,ILLUMINA,2020-03-02T00:00:00Z,NRCGCS85_I,SRP185769,PRJNA521728,RI,leaf,India,Asia,"India:Gujarat\,Junagadh",Plant,,,NRCGCS85,82 days after germination (DAG),,,70 DAG groundnut plant inoculated with S.rolfsii pathogen/water as control,,ICAR-Directorate of Groundnut Research,,Stem rot,,,,,,,,,,,,,,,,,Dr. Sneha dodia,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PRJNA517600: RNA sequencing of peanut roots treated or untreated with rhizobacteria, MBE02 Overall design: mRNA profiles of peanut roots treated with MBE02 rhizobacteria and compared with non-treated control. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRJNA517600,,Roots,SRR8501422,RNA-Seq,150,5304262050,SAMN10839024,1911288110,GEO,public,"fastq,sra","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX5305424,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Arachis hypogaea,ILLUMINA,2019-02-04T00:00:00Z,GSM3582085,SRP182785,PRJNA517600,,Roots,,,,,,,,,,,rhizobacteria MBE02,,,,,,,,,GSM3582085,"Peanut\, MBE02-treated",,,,,,,,,,,,,,,,,,
,PRJNA517600,,Roots,SRR8501423,RNA-Seq,150,5095824600,SAMN10839023,1859597387,GEO,public,"fastq,sra","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",SRX5305425,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Arachis hypogaea,ILLUMINA,2019-02-04T00:00:00Z,GSM3582086,SRP182785,PRJNA517600,,Roots,,,,,,,,,,,rhizobacteria MBE02,,,,,,,,,GSM3582086,"Peanut\, MBE02-treated",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PRJNA511663: Fe deficiency enhanced Cd uptake and accumulation in peanuts. However, the molecular mechanism underlying the increased Cd accumulation in Fe-deficient peanut plants is poorly understood.We employed a comparative transcriptome analysis approach to identify differentially expressed genes (DEGs) in peanut roots exposed to Fe-sufficient without Cd, Fe-deficient without Cd, Fe-sufficient with Cd and Fe-deficient with Cd",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRJNA511663,Fe50Cd_2,root,SRR8387895,RNA-Seq,300,7308642600,SAMN10642091,2538594636,HUAIBEI NORMAL UNIVERSITY,public,"sra,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX5197661,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Arachis hypogaea,ILLUMINA,2019-04-24T00:00:00Z,Arachis hypogaea L. clean sequence reads under Fe/Cd combined treatments,SRP175080,PRJNA511663,Fe50Cd_2,root,China,Asia,China: Huaibei,Plant,Fenghua 1,,,two week old,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRJNA511663,Fe50Cd_1,root,SRR8387896,RNA-Seq,300,9668272500,SAMN10642091,3349617760,HUAIBEI NORMAL UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX5197660,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Arachis hypogaea,ILLUMINA,2019-04-24T00:00:00Z,Arachis hypogaea L. clean sequence reads under Fe/Cd combined treatments,SRP175080,PRJNA511663,Fe50Cd_1,root,China,Asia,China: Huaibei,Plant,Fenghua 1,,,two week old,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRJNA511663,Fe50_2,root,SRR8387897,RNA-Seq,300,8885581200,SAMN10642091,3087910252,HUAIBEI NORMAL UNIVERSITY,public,"sra,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX5197659,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Arachis hypogaea,ILLUMINA,2019-04-24T00:00:00Z,Arachis hypogaea L. clean sequence reads under Fe/Cd combined treatments,SRP175080,PRJNA511663,Fe50_2,root,China,Asia,China: Huaibei,Plant,Fenghua 1,,,two week old,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRJNA511663,Fe50_1,root,SRR8387898,RNA-Seq,300,8313816300,SAMN10642091,2910238101,HUAIBEI NORMAL UNIVERSITY,public,"fastq,sra","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",SRX5197658,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Arachis hypogaea,ILLUMINA,2019-04-24T00:00:00Z,Arachis hypogaea L. clean sequence reads under Fe/Cd combined treatments,SRP175080,PRJNA511663,Fe50_1,root,China,Asia,China: Huaibei,Plant,Fenghua 1,,,two week old,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRJNA511663,Fe0Cd_2,root,SRR8387899,RNA-Seq,300,7931763300,SAMN10642091,2751731600,HUAIBEI NORMAL UNIVERSITY,public,"fastq,sra","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX5197657,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Arachis hypogaea,ILLUMINA,2019-04-24T00:00:00Z,Arachis hypogaea L. clean sequence reads under Fe/Cd combined treatments,SRP175080,PRJNA511663,Fe0Cd_2,root,China,Asia,China: Huaibei,Plant,Fenghua 1,,,two week old,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
